name,cost_tier,calories_100g,protein_100g,carbs_100g,fat_100g,allergy_tags,disease_tags
Lamb,medium,134,23,1,8,none,high_protein;high_iron
White Bread,high,287,8,71,6,gluten,high_glycemic
Organic Tomato,high,48,4,10,1,none,anti_inflammatory;low_sodium;low_glycemic
Brown Rice,low,328,3,32,5,none,diabetes_friendly;low_glycemic
Cashews,low,669,5,17,62,nuts,anti_inflammatory;high_protein
Yogurt,low,104,15,4,9,dairy,high_protein
Edamame,high,130,13,23,2,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Mozzarella Cheese,low,148,4,7,25,dairy,high_protein
Tofu,high,134,12,26,7,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Coconut Oil,medium,742,18,20,81,nuts,anti_inflammatory;high_protein
Canned Spinach,low,16,4,9,1,none,anti_inflammatory;low_glycemic
Cheddar Cheese,medium,87,23,3,21,dairy,high_protein
Canned Cod,low,176,28,0,20,shellfish,anti_inflammatory;omega_3;high_protein
Bacon,medium,133,26,0,25,none,high_protein;high_iron
Canned Tuna,low,228,24,1,7,shellfish,anti_inflammatory;omega_3;high_protein
Yogurt,medium,300,7,8,4,dairy,high_protein
Cod,medium,181,19,0,7,shellfish,anti_inflammatory;omega_3;high_protein
Canned Lime,low,42,2,21,2,none,anti_inflammatory;low_glycemic
Tuna,medium,109,25,0,15,shellfish,anti_inflammatory;omega_3;high_protein
Canned Trout,low,225,28,1,11,shellfish,anti_inflammatory;omega_3;high_protein
Canned Pear,low,62,0,25,3,none,anti_inflammatory;low_glycemic
Quinoa,low,244,6,25,6,none,diabetes_friendly;low_glycemic
Lamb,medium,229,17,2,11,none,high_protein;high_iron
Couscous,medium,245,14,33,5,gluten,high_glycemic;low_glycemic
Canned Spinach,low,18,4,2,0,none,anti_inflammatory;low_glycemic
Organic Asparagus,high,35,5,4,0,none,anti_inflammatory;low_sodium;low_glycemic
Black Beans,high,119,8,17,7,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Tilapia,medium,172,19,1,8,shellfish,anti_inflammatory;omega_3;high_protein
White Bread,medium,318,7,46,4,gluten,high_glycemic
Flax Seeds,low,676,8,11,45,nuts,anti_inflammatory;high_protein
Milk,low,361,6,5,31,dairy,high_protein
Spinach,medium,34,4,10,0,none,anti_inflammatory;low_sodium;low_glycemic
Sardines,high,153,30,0,19,shellfish,anti_inflammatory;omega_3;high_protein
Bell Pepper,medium,38,4,11,1,none,anti_inflammatory;low_sodium;low_glycemic
Flax Seeds,medium,883,23,12,88,nuts,anti_inflammatory;high_protein
Chicken Breast,medium,280,17,2,8,none,high_protein;high_iron
Sausage,medium,125,17,1,18,none,high_protein;high_iron
Sausage,low,298,29,1,18,none,high_protein;high_iron
Pasta,high,328,3,52,6,gluten,high_glycemic;low_glycemic
Organic Onion,high,20,3,5,1,none,anti_inflammatory;low_sodium;low_glycemic
Lettuce,medium,11,5,10,1,none,anti_inflammatory;low_sodium;low_glycemic
Milk,high,199,11,3,15,dairy,high_protein
Canned Avocado,low,94,1,19,2,none,anti_inflammatory;low_glycemic
Tuna,high,133,23,1,16,shellfish,anti_inflammatory;omega_3;high_protein
Organic Lemon,high,97,2,13,3,none,anti_inflammatory;low_glycemic
Couscous,medium,358,5,47,1,gluten,high_glycemic;low_glycemic
Canned Mackerel,low,127,18,0,12,shellfish,anti_inflammatory;omega_3;high_protein
Greek Yogurt,medium,384,16,3,2,dairy,high_protein
Greek Yogurt,medium,388,12,3,15,dairy,high_protein
Organic Mushroom,high,59,4,7,0,none,anti_inflammatory;low_sodium;low_glycemic
Canned Salmon,low,215,26,0,20,shellfish,anti_inflammatory;omega_3;high_protein
Canned Spinach,low,43,5,2,0,none,anti_inflammatory;low_glycemic
Cottage Cheese,high,396,10,8,20,dairy,high_protein
Organic Broccoli,high,12,4,8,1,none,anti_inflammatory;low_sodium;low_glycemic
Canned Sardines,low,140,30,0,5,shellfish,anti_inflammatory;omega_3;high_protein
Edamame,medium,129,9,15,7,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Brown Rice,high,273,5,31,3,none,diabetes_friendly;low_glycemic
Canned Pinto Beans,low,169,17,25,1,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Lettuce,medium,10,1,4,1,none,anti_inflammatory;low_sodium;low_glycemic
Pinto Beans,high,117,18,25,2,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Watermelon,medium,64,0,10,0,none,anti_inflammatory;low_glycemic
Oats,low,144,3,46,6,none,diabetes_friendly;low_glycemic
Strawberries,medium,82,0,13,1,none,anti_inflammatory;low_glycemic
Grapes,medium,65,1,18,2,none,anti_inflammatory;low_glycemic
Canned Tofu,low,102,12,16,3,soy,diabetes_friendly;high_protein;low_glycemic;high_iron
Shrimp,medium,123,21,1,11,shellfish,anti_inflammatory;omega_3;high_protein
Milk,medium,170,13,6,24,dairy,high_protein
